ID,WeekDay,Breakfast_Start,Breakfast_End,Lunch_Start,Lunch_End,Dinner_Start,Dinner_End,Breakfast,Lunch,Dinner
27,Thursday,,,12:30:00,18:00:00,18:00:00,23:59:00,0,1,1
27,Wednesday,,,12:30:00,18:00:00,18:00:00,23:59:00,0,1,1
27,Monday,,,12:30:00,18:00:00,18:00:00,23:59:00,0,1,1
27,Friday,,,12:30:00,18:00:00,18:00:00,23:59:00,0,1,1
28,Thursday,,,09:00:00,17:00:00,17:00:00,21:00:00,0,1,1
28,Sunday,,,09:00:00,17:00:00,17:00:00,21:00:00,0,1,1
28,Wednesday,,,09:00:00,17:00:00,17:00:00,21:00:00,0,1,1
28,Tuesday,,,09:00:00,17:00:00,17:00:00,21:00:00,0,1,1
28,Monday,,,09:00:00,17:00:00,17:00:00,21:00:00,0,1,1
28,Friday,,,17:00:00,21:00:00,,,0,1,1
28,Saturday,,,09:00:00,17:00:00,17:00:00,21:00:00,0,1,1
29,Tuesday,,,10:00:00,17:00:00,17:00:00,23:30:00,0,1,1
29,Monday,,,10:00:00,17:00:00,17:00:00,23:30:00,0,1,1
29,Saturday,,,10:00:00,17:00:00,17:00:00,23:30:00,0,1,1
29,Wednesday,,,10:00:00,17:00:00,17:00:00,23:30:00,0,1,1
29,Friday,,,10:00:00,17:00:00,17:00:00,23:30:00,0,1,1
29,Sunday,,,10:00:00,17:00:00,17:00:00,23:30:00,0,1,1
29,Thursday,,,10:00:00,17:00:00,17:00:00,23:30:00,0,1,1
30,Thursday,,,11:00:00,17:00:00,17:00:00,22:00:00,0,1,1
30,Friday,,,11:00:00,17:00:00,17:00:00,22:00:00,0,1,1
30,Saturday,,,11:00:00,17:00:00,17:00:00,22:00:00,0,1,1
30,Sunday,,,11:00:00,17:00:00,17:00:00,22:00:00,0,1,1
30,Monday,,,11:00:00,17:00:00,17:00:00,22:00:00,0,1,1
30,Tuesday,,,11:00:00,17:00:00,17:00:00,22:00:00,0,1,1
30,Wednesday,,,11:00:00,17:00:00,17:00:00,22:00:00,0,1,1
31,Friday,,,11:00:00,17:00:00,,,0,1,1
31,Saturday,,,11:00:00,17:00:00,,,0,1,1
31,Sunday,,,11:00:00,17:00:00,,,0,1,1
31,Monday,,,11:00:00,17:00:00,,,0,1,1
31,Wednesday,,,11:00:00,17:00:00,,,0,1,1
31,Tuesday,,,11:00:00,17:00:00,,,0,1,1
31,Thursday,,,11:00:00,17:00:00,,,0,1,1
32,Sunday,,,12:00:00,18:00:00,18:00:00,23:00:00,0,1,1
32,Saturday,,,12:00:00,18:00:00,18:00:00,23:00:00,0,1,1
32,Monday,,,12:00:00,18:00:00,18:00:00,23:00:00,0,1,1
32,Tuesday,,,12:00:00,18:00:00,18:00:00,23:00:00,0,1,1
32,Friday,,,12:00:00,18:00:00,18:00:00,23:00:00,0,1,1
32,Wednesday,,,12:00:00,18:00:00,18:00:00,23:00:00,0,1,1
32,Thursday,,,12:00:00,18:00:00,18:00:00,23:00:00,0,1,1
33,Saturday,,,08:00:00,14:00:00,14:00:00,22:00:00,0,1,1
33,Monday,,,08:00:00,14:00:00,14:00:00,22:00:00,0,1,1
